Futures Contract, Date, Time,Notes,Good Moment (Y|N|N/A)?
/MCL,10/11/23,8:45 AM,"Another super hard fought day. Victorious because of God! Reached my $50/day goal with a revenue of $51 in 6 trades, earning a profit of ~$20. Had I scaled up, the profit would have been $480. I'm back in the simulator. This day made me super nervous because of the volatility. Also, for all practical purposes, I feel like I lost on my final trade of the day. While the trade was technically profitable, my risk management was bad. I could have easily lost $20 ($200 scaled up) on that trade. Price was up and down. I bought at the wrong spot as the knife fell and price didn't go back up to $85.30 as I had expected. My entry was bad as well. I thought I was entering close to $85.00 and got $85.07 at market price (think more deeply about the risk of entering/exiting at market prices when there's huge volatility.). Price was truly hovering around the $84.90 so it is a miracle I was able to exit around $85.15. The amount of patience & pain & anxiety endured was incredible. This was also a super risk trade because while the 5m cycle was bullish, the daily and hourly cycles are bearish. Totally expecting price to see new lows and close the gap. So yeah, more to learn. What kept me in the trade was seeing higher highs & lower lows. It would have been nice to set a limit order for 85.17, but i'm not sure if price would have reached 85.17 if I had done so because order flow can be seen. NOTE: *My final trade of the day was incredibly risky and I need to improve risk management around these kinds of trades*. Just a few moments later and price fell to a new low.of $84.68. Imagine if I had stopped out at $84.68 from $85.07. That would have been a $49 loss and I would have ended the day with a loss of $4 instead of a victory of $51. Thank you God. AND I KNEW THAT IT'S A BEARISH DAY so risking bullish trades during bearish days is not wise. I need to learn more about how to handle bearish days & practice more in the simulator. Actually, I had a really good trade today! After a loss where I was stopped out around $85.40, price went back down to around $85. I was preparing to re-enter around $85.20 but I *felt* something was wrong. So price is around $85.12-85.15 and I don't enter. I just sat back and watch. I even said out loud, ""It's a trap."" Then price skyrocketed to $85.57! I re-entered around $85.37 (again, watch the market entries because I wanted $85.40+) and rode the trade short close to $85 after waiting for some time. Then price proceeded to fall through $85 and I was like, ""Oh if I had just stayed in it would have been an amazing trade and I would have already reached my daily goal!"" That said, I'm happy that I exited where I did because *I Traded My Plan!* My plan didn't account for price falling through $85, it accounted for a bounce off $85. Again, more to learn!  ",Y
/MCL,10/12/23,4:01 PM,"I didn't trade today because of the story I told myself - ""the market's only tradeable from 7am-10am and I'll be enjoying food with friends at Huw's breakfast club until 11am"". I was wrong and each day is different. Granted, I was sleepy after such a big breakfast lol (reminder: watch out for pre-diabetes. I was sleepy because I ate too much sugar in one sitting.). If I had traded, there were really nice sell offs on both /MCL and /MES even at 1hr timescales where I could have easily earned $100 today if not $200. It was really a 1 contract, $200 day. That said, lesson learned about being more flexible. Next time I'll check what's happening in the afternoon. If the market is still active and I'm feeling performant, I'll trade. Reminder to self: It's all a learning process - enjoy the journey! Also, the good thing about today is that I followed through on my plan! I said, ""Hey, it's only one day of trading. The entire point of this new lifestyle is being able to enjoy a day off when I want to."" Today has been a day off from trading/working that I've truly enjoyed! Oh yeah, /MCL (and /MES) are now trading in tight ranges and poised for another breakout. It feels like price may go lower on /MCL back towards $77-78 over the next few days. Or price will climb steadily and retest $86. KEEP GOING!",N/A
/MCL,10/13/23,7:33 AM,"Current price $86.48! On 1 day chart Price climbed back up steadily back the where the gap up/gap down happened! So this confirms the increasing demand for oil! We're back to where we were on Monday. Althought this time it's likely that price will continue to climb higher to $89. On 1hr a HUGE break out occurred starting at 1am! What a move that I missed while sleeping! 15m chart shows support around $86 followed by a further bullish breakout. At 7 AM there was a rejection of $86.15. 5m chart shows lows as low as $85.78 and a reversal at $86.23 at 5:25 AM. Today the 15m chart might be easier to trade because of the volatility shown on the 5m chart. Anyway, it's a nice bullish day so far!",N 
/MES,10/13/23,7:41 AM,"Current price $4381. We're seeing a further sell off from yesterday. On the 1hr chart, price is actually recovering from the the sell off that happened at 3am. Price went from 4391 to 4365 and bounced. Will see a return to 4385 and possibly a bullish move afterwards. 1hr chart shows momentum loss at 4378, followed by a small sell off to 4372 before receovering. AND I'm in the simulator lolol. Nice bullish breakout happening on the 5m chart. It's a bullish day!",N 
/MCL,10/13/23,7:50 AM,"Went long at 86.87. Looking to sell near the high of 87.23. Also expecting price to reach new highs after it retests 87.23. And of course price starts selling off right after I enter lol. I can hold longer on this one because I'm waiting for a longer price movement. I'm waiting about 20-25min to see the trade play out. So around 8:20 AM for an exit. If I hang on through 87.40, then I will reach my goal for the day. I just have to be careful about what happens around 87.20. There will probably be a price battle there ",N 
/MCL,10/13/23,8:20 AM,"Just lost $80 on being confident in a bullish move that quickly turned around. This is bad because it was bad risk management. That said, it wasn't clear at all that someone would step in at 8am with a 0.61 sell off. 0.80 is like 2 days of work to recover. If I want to end the day with a $50 profit, I now need $130 profits. I read the market incorrectly and didn't stop out when I had reached a $20-30 loss, which would have been fine. It was 5m that got me - just 5m. An immediate reversal of price after I entered and with incredible volume ",N 
/MCL,10/13/23,8:38 AM,Just lost another $27 on aiming for a 0.20 trade that almost went through. I can't read the market today. All of my profits from this week have been wiped out. I am now at a loss of $107 for the day and a YTD profit of $2. I am incredibly frustrated. This was supposed to be an easy bullish day ,N 
/MCL,10/13/23,9:18 AM,"Today has been a really good learning day about scale and price movement. Price can *fall* really fast. This is where trading 1 contract at a time is excellent. I didn't lose $950 today, I only lost $95 because the scale is small. Part of good risk management will be knowing when to scale up and when to scale down. AVOID PURCHASING NEAR LOCAL HIGHS. This totally got me again. Price really seemed like it was going to break out to a new high and then price fell so fast in 5m. So it's something like this: Uncertain trades, 1 contract. Certain trades: 10 contracts. Imagine if I rode a really certain trade today for 10 contracts and earned 0.20. Then I would be up $200 and would have easily reached my daily goal. So things are fine! Everything is fine!",N 
/MCL,10/13/23,9:26 AM,"I decided to trade a little more. I saw price break through 85.93 so I decided to enter long at 86.02 for a nice 0.10 trade, bring my daily loss back down to $85. I might do one more trade to hit my max of 10 trades per day and then call it.",N 
/MCL,10/13/23,9:39 AM,"I got absolutely crushed during my final trade for the day. I don't know what is happening, but price movements gapped. I entered at $86.31 for a nice 0.10 trade again and price reversed, but it reversed *quickly*. 0.15 gap down making it hard to stop out. This is where I need to start adding back in limit orders to improve my trading. My stop losses are starting to be bad. Ended the day with a loss of $120 and an overall account loss of $11. Bad trading day. Will keep going and recover next week. Learning with every trade that market behavior changes often. Again, it was another significant loss on a 5m candlestick of ~$35. Depending on the day, it can be safer to go short instead of going long because the sell offs happen faster and steeper ",N 
/MCL,10/16/23,7:25 AM,"Okay, I'm definitely missing something. Definitely. Price is back up to $88.10!??? So price did break through and somehow I lost money on 10/13/2023 during a sell off that occurred around 7:50 AM. I see. I did miss some things. I wasn't wrong about the overall direction of price. I got intentionally stopped out at a significant loss on the way up to a higher price. That's incredibly interesting because I didn't plan for that to happen! If I had held through the low from 86.87 to 85.38 and done a swing to 88.10, I would have profited $120 instead of losing $120. Although, it would have been a bad trade because it felt like price was pushing to new lows while I was trading on Friday. Today I'll wait for additional confirmation ",Y
/MCL,10/16/23,7:33 AM,"Current price $88.12. Price is trading in a balanced range again and poised for another break out. This time I will wait until I see momentum. If price breaks out bullishly, a move towards $89.50 could happen. Or, if price breaks out bearishly, it would be a move back towards $86.23 (1hr chart). On 15m chart, lots of volume at 7:15am and a new high of 88.34. Starting to see a bit of a sell off, but still bullish. On 5m chart also seeing bullish momentum into 88.30 at 7:15am. Waiting for clear price movement. RSI is hovering around 70",Y
/MES,10/16/23,7:42 AM,Current price $4375.75. The MES price hasn't changed much.,Y
/MCL,10/16/23,8:59 AM,"Nice trading day with $57 profit. I'm stopping at this profit amount because I reached my daily revenue goal of $50-100, which is an incredible come back from losing $120 on Friday. I totally want to keep trading to see if I can earn $100 today and come closer to recovering my Friday loss and then profiting more. That's an emotional feeling/ego thing, rather than focusing on planning & executing high-quality trades. What I'll actually do now is open the Ninja Trader simulator and continuing trading there with paper money.",Y
/MCL,10/17/23,8:07 AM,Current price 86.58. Price has fallen back down to support. Could see price return to ~$84. Or price will finally make it back up to $89. Daily chart seems bearish but more so trading sideways after Friday's bullish momentum. 1hr chart shows price trading in a very narrow range ($87.09 - $86.11) => ~$1. Another break out should occur. The 15m chart has range trading opportunities. 5m chart is super choppy. It may be wise to trade at 15m or higher today,N
/MES,10/17/23,8:18 AM,Current price $4374.25. Price again hasn't changed much. Price is still trading sideways after the 10/4-10/11 break out,N
/MCL,10/17/23,9:39 AM,"Today was a semi-bad trading day. I lost on all 6 of my trades today. It's surprising to lose so many trades in a row, but that's okay. What's much more interesting is the way in which I lost. I kept aiming for 0.20 profit trades. The market kept giving me 0.10-0.15 trades and I wasn't accepting them. So on many of these trades I could have closed for a profit. Instead, I hung on to each trade, waiting for my desired exit price. And on each trade price reversed and *I stopped out*. What's cool about today is that I respected my stop outs, which actually prevented further losses! So my risk management was good! My exits were bad. I also now have a more natural rhythm for trading & risk. I'm willing to lose up to ~$50 a day and I'm now going to start aiming for $100 a day in profit. 2:1 does seem to be the right path for account accumulation. My problem right now is that my account keeps going sideways because I'm not keeping what I earn. So it's either got to be $50/day revenue goal and $25/day max loss or it's got to be $100/day revenue goal and $50/day max loss. Another thing that got me today is that there was almost no volume. Also, I traded against the flow of the market again. The market said it wanted to do a bullish breakout. Being nervous about losing to a false breakout on Friday, I looked for areas to short. I was wrong about this. If I had just gone with the bullish flow of the market I would have profited. Although the irony is that as soon as I decided to stop trading for the day, price had a sizeable sell off lol. The market is totally like that. After it knows your plan it will do the opposite (sometimes) haha. Other times things go exactly according to plan! I'm also not focused on losses so much right now because I'm still trying things and observing how the market responds to what I try. Ending the day up $100 overall account value is somewhat the same to me as ending the day with -$12 overall account value. I know I can earn my way back to having my account be profitable. The harder part is being able to win consistently enough to keep the profit. That's what I'm working on. And it's coming along one step at a time. New improvement: Start locking in profits. If I have at least 0.10 in profit and I'm waiting on 0.20 in profit, lock in the 0.10 so that in the worst case I still profit. Now this will definitely create early exits sometimes. Overall it may help others & myself keep more profits",N
/MCL,10/17/23,10:02 AM,"It's actually super clear why I lost today and it's okay! I hesitated on the bullish breakout and missed the trade. Then I said to myself, ""Price went up so fast, it must come back down"" and started planning for a reversal that I could short. I kept trading this plan and the price action I expected didn't materialize. So I got the pattern wrong. The question is: ""How could I have gotten the pattern right?"". Around 9am I should have known because sell offs usually happen quickly, not with hesitation",N
/MCL,10/17/23,10:09 AM,I just practiced the profit lock-in in the ninja trader simulator and it's beautiful! ,N
/MCL,10/18/23,8:08 AM,"Current price 86.39. Price is still mostly trading sideways after Friday's bullish breakout. There's a hint of price returning to 83.50, but price could turn around and climb higher. On the 1hr chart, price reached a high of 88.30 at 5am and is now decreasing from 88 again! A significant sell off! Will the bearish trend continue today? On a 15m chart there was a sizeable sell off that started at 8am with volume. On the 5m chart starting to see some bullish momentum. Price will likely ride back up to 87 during the stand and perhaps fall off more . It feels like volume is low again",Y
/MCL,10/18/23,8:23 AM,Went for a bullish reversal from 86.70 to 87. I incorporated a sell stop order to my exit (profit lockin) and it works well! Price is moving slowly and I felt like I was going to be stopped out because price wouldn't get above 86.80. When price did get above 86.80 I set a sell stop order at 86.80 and it netted me 0.08 profit after the stop order became a market order! So that's pretty good because it prevented me from losing on a winning traded! #progress!,Y
/MCL,10/18/23,9:29 AM,"Today I pushed through my limit with a new daily revenue record of $62! It was super hard fought because I needed faith to hold through the mean reversion. At 86.50 I was done! I was down $20-30 on the trade feeling less than enthusiastic about having to re-enter to claim victory over my daily goal. In truth, it's *in my mind*. As soon as I reached $53 (my $50+ daily goal) and decided to stretch towards $100 by doing one more profitable trade, *that's when the market felt like it went against me*. In reality, for greater profit I had to hold through greater pain. Something really odd is happening. While it's been a much improved day, I've observed that I lost every single trade yesterday and won every single trade today. That feels statistically unlikely, but I believe I traded 7 times yesterday and 6 times today. Fees are adding up! I've spent $576.17 on fees so far so I've done around 100 trades! Remember, *this is okay because I'm learning*. Right now I need to keep my focus on how to keep my profits, increase my daily profit to $100/day (with one contract), and decrease my daily losses to at most $25/day. After I arrive at profitability, the fees will disappear with scale. I can also start trading on Ninja trader to reduce fees (this will be a good idea because Ninja Trader will be my environment where I scale up). When I reach 1000 trades (~3 months), I should have a clear idea of what kinds of trades/patterns/market days I do well (richly) on, what kinds of trades/patterns/market days I do poorly on. And it should be *easy* to keep improving. That's what the AI should help others & myself with. So it's not, ""What's the probability that this trade will be a profit or loss"" it's, ""What's the probability that *you'll* profit from this trade given market conditions, your trading strategy, your trading plan, how you execute, and what your personality is."" It should be really easy with enough data to say, ""This is who you are and this is how you trade. Here's where you're good. Here's where you're bad. If you focus on where you're good within the markets, you could increase your profits X% and decrease your losses Y%, helping you arrive at your trading goal Z. ",Y
/MCL,10/19/23,8:22 AM,"Current Price 86.53. Not much has changed since yesterday. I'm online what feels a bit late today from a discipline perspective. Regular market hours start within 10min. I'm a bit groggy today from my week of extended birthday celebrating. Price has been reaching slightly lower lows over the past few days - not necessarily lower highs. On 1hr chart, I haven't missed much. Price sold off from $87 to $85.43 between 2-4 am today. Price bounced and is now at a point of indecision. Will price go back up to $87? Or will price fall through support at $85.38? 15m chart shows a peak of $86.84 at 7:30 AM. Not that much volume again. Price bounced on $86.38. 5m chart shows much more indecision around $86.50. ",Y
/MCL,10/19/23,9:03 AM,"Had some nice trades so far. Still need to improve at risk management. I'm learning that mean inversion does work! It also requires holding through the pain. Today I achieved an improvement over FCEL, where I profited from price returning to the mean instead of losing. Aiming for another $60+ revenue day to stretch myself. Either way, I'll flow with the market",Y
/MES,10/19/23,9:05 AM,"Current price $4343! Price has changed a bit since yesterday! Much more price movement today! A price sell off happened yesterday on 1d chart. Price is oscillating around $4333 on 1hr chart, with bearish movement. On 15m chart, price is bearish coming back to $4333. On 5m chart the bounce is at $4334. Not a good place to enter a trade because price is so close to the oscillation point. Price could go back up to $4351 or back down to $4333.",Y
/MES,10/19/23,9:32 AM,"Price returned to $4333! I saw price falling through $4333 and went short. Price hit $4328 almost instantly and I ended up with $20+ profit! Thank you God and my angels! #333. Aiming for $60 revenue today to stretch/grow. Also, today is the first day that I've felt intuition on when *not* to trade a financial instrument. /MCL is moving at a crawl after the trades from earlier and price is in such a narrow range around the oscillation point that it creates a huge trading risk that tells me not to trade MCL right now. I'm starting to be more patient and to focus on where there are *clear* trading opportunities! All good blessings & learnings!",Y
/MES,10/19/23,10:27 AM,"/MES crushed me lol. I decided to go long again for a reversal even though I already knew the trend was bearish. I could have stopped out at a small profit or loss after seeing that price was not moving according to my plan. Instead, I stayed in to let the trade play out. Price triple topped near where I purchased (ended up being a local high) and sold off. I lost ~$50, bringing my daily revenue to -$10 instead of +$40. I'm new to MES so this is okay. Have to keep going! Yeah, the market got me. Price is back up to $4333 now. So I couldn't hold on through the pain of -$50 and they knew. Dang ",N
/MES,10/19/23,10:37 AM,"Yeah MES is rigged. I literally re-entered around $4333 for another sell off after price rebounded. Of course, price decides to climb higher after that back through 4335 and towards 4340. I just lost another $30 and there's no reason that should have happened without the market being rigged. So now the question is: How can I rig the market in the favor of others? I wasn't wrong about the overall direction of the price movements. It's literally that when I went long, the market wouldn't rise higher than where I purchased and ultimately stopped me out. Then when I went short at the resistance point, price climbed higher and stopped me out again. Also, *fees* are adding up!",N
/MES,10/19/23,11:22 AM,"After reflecting, the key question I have for myself about today is: ""Why didn't I stop out at a $10 or $15 loss after I knew the MES trade wasn't going as planned?"" If I had done so, I would have still had a net profit on my MES trades as well as the day. Also, the 10:37 AM trade was an emotional trade placed hoping I could make up for my loss. I didn't have confirmation. So it's not rigged rigged. It's just that I have to remember to wait for confirmation",N
/MCL,10/19/23,11:28 AM,How did I miss a truly bullish & easy day on MCL? Why is it that as soon as I changed over to MES that MCL went up effortlessly?,N
/MES,10/19/23,11:34 AM,In the MES simulator now. Got it! MES isn't rigged. What happened is that I'm not used to the sometimes fast price movement on MES. It can go from really slowly moving prices to really fast moving prices! Price just went from $4360 to $4316 within 10m after I waited 55m to get stopped out on my long trade. I need to pay attention to when trading activity is happening and accept that prices can move quickly after feeling like they're moving slowly! I need to spend more time practicing on MES. Also I feel good about how the day went now - knowing that I tried something new: Trading a new financial instrument (MES)! And I did so for a good reason: No trading opportunities on MCL at the time! So it's all a work in progress and things are moving in the right direction!,Y
/MES,10/19/23,11:42 AM,I just made $51.25 in a few minutes on MES within the Ninja Trader simulator. A $40 loss is nothing lol. NEED TO PRACTICE LEARNING HOW MES TRADES,Y
/MCL,10/19/23,12:48 PM,"Observe that MCL has a nice bullish run today. If I had been patient, I would have been able to profit $60 today instead of being down $42. Think about that. I probably could have even profited $100 today. So what really happened is that I shifted to a new financial instrument (MES) and didn't perform well because I'm not yet familiar with MES. Imagine trying to shift from playing guitar to drums at a gig. While I can perform reasonably well shifting from guitar to piano, I'm just less comfortable on drums. In the same way, I will become comfortable with MES in time ",N 
/MCL,10/19/23,4:02 PM,"I missed an incredible bullish break out today! If I had just done buy & hold on MCL today, starting at 9 AM instead of focusing on trading, I would have been up ~$250 ($86.61 - 91.17)! Each day is different! I have to remember that not every day is a range-trading day!",N
Platform Change,10/20/23,8:01 AM,"Today I'm shifting to Ninja Trader to start trading futures. The charts on Ninja Trader are seemingly not as good as the ToS charts because there's not as much data available. That said, Ninja Trader is intra day so it's probably fine",Y
/MCL,10/20/23,8:10 AM,"1 day chart shows a retesting of $89, with a high of $92 before price may pull back again. Price could also decrease back to $86. 1hr chart shows price has been balanced since 2pm yesterday and is oscillating around $89. 15m chart shows resistance at $90 with price falling back towards $88.85. 5m chart shows a recent sell off from $89.58 to $89.02. Looking for a breakthrough to $92 or a fallback to $86. Waiting for another bounce off $88.85 or $90. If price breaksthrough $90, it's good to go long. If price bounces off $90, short back to $89.20. If price bounces off $88.85, ride that back up to $89.30. If price falls through $88.85, short back towards $86. DON'T ENTER NOW WHILE THE MARKET IS STILL DECIDING WHAT DIRECTION TO BRING PRICE TO",Y
/MES,10/20/23,8:27 AM,"I return to learning MES! Current price $4292, down from 4333 on the daily chart yesterday. What's the overall trend? Oh wow, the market has been pushing lower since July! Now I feel dumb for going long lol. We're heading back towards $4222. Price may fall through today or we could see another bounce. It's probably true that a bounce will be just another rally before a significant rip. 1hr chart shows price is balanced and trading tightly between 4304 and 4282. Same on 15m chart. Price is right in the middle of a range right now. Wait for price to break through 4304 or fall through 4282 or bounce off these price levels. 5m chart shows the same. Need to wait for the market to decide price direction ",Y
/MCL,10/20/23,5:00 PM,"I ended the day well with $39 gross profit and $18.90 of net profit that I can pay myself with! While I didn't reach my daily goal of $50 (mostly because I traded MES again without spending more time practicing in the simulator to learn its price movement), I ended the week profitable across Ninja Trader and ThinkOrSwim, with an actual net profit after fees on Ninja Trader!",Y
/MES,10/20/23,5:00 PM,"NEED MORE PRACTICE & STRATEGY. I lost $10+ in MES again in a matter of at most a minute. No more trading MES live until I've strategized and practiced in the simulator. That said, I must continue to learn price movement and journal how I would trade ",N
/MCL,10/23/23,8:43 AM,"I didn't sleep well and am on late. I'm also thinking about needing to order my mom's birthday gift so it arrives on time. Current price of MCL is $87.05. A sell off is happening and I missed some nice trades earlier this morning. Price closed at 88.30 on Friday and opened at 88.00 today (Sunday). Overall, monthly, price is on an upward trend. So it's like we're seeing a pull-back before more bullish momentum. Price is retesting $87 and may fall through again! That said, I would expect price to bounce off $85 and keep climbing higher this time. 1hr chart shows price tried to break $88.40 and couldn't so price fell back down. That said, price also has support so far at $86.87. So I'll have to watch carefully for a bounce or a sell off. RSI is currently at 40 so MCL is oversold. 15min chart shows bullish movement, a bounce from 86.83. Yet there's been heavy volume on the bearish candles at 8am and 8:30am. A mean inversion play would be back to 87.60. 5m shows bullish momentum back towards 87.60. There's a real question of whether price will climb and break through 88 or if price will fall and sell through 86.83.",N
/MES,10/23/23,8:57 AM,"Simulator only today and until I become comfortable with MES price movement! Current price $4240. On the daily chart there's still a clear bearish pattern even though RSI is oversold at 30. The 1hr chart shows bullish momentum back to $4241 after a sell off to 4215 at 4 AM. But 8 AM retested $4213 with a rejection, but also hinting that more bearish price movement is coming. On the 15m chart, price hit a high of 4238 at 7:15 AM before another selloff at 8:30 AM. It was only at 8:45 AM that price rallied so much back to resistance. On the 15m chart, price is overbought at RSI 60. On 5m chart, buyers/sellers are battling - price is indicisive",Y
/MCL,10/23/23,9:07 AM,Price has consolidated around $87.30. Waiting for a break out,Y
/MES,10/23/23,9:10 AM,There's way more price movement/volume on MES than MCL lol,Y
/MCL,10/23/23,9:43 AM,"I'm starting to see how instituitional buying works. I went short around 86.76 thinking that because price fell through the low, we'd see a steep sell off. What ended up happening was that buyers stepped in with huge volume and I had to stop out. Yet, the volume amount shows me that it's very clear where institutions or a large groups of buyers are buying ",Y
/MCL,10/23/23,10:02 AM,"I had a really nice trade from $87.41 to $87.20, where I set my exit at $87.20 and waited patiently for price to reach this point. Also, my entrace was pretty good. I believe I only had an unrealized loss of only a few dollars while waiting for the trade to unfold. Happy about the patience I put into waiting for the right entry and being intentional about my exit. This shows improvement.",Y
/MCL,10/23/23,10:57 AM,"I finally learned the value of setting stop losses the hard way. MCL came through with a nice sell off that I was able to capture part of. I decided to go long to ride the wave back up to 87 and what I learned is that PRICE CAN CHANGE QUICKLY. So I went from a really nice risk managed trade of losing $10-12 to losing $27 in an instant. I stopped out, but this rapid price movement wiped out my profits for the day. If I'd had a stop order in place, I would have maintained good risk management and kept my profits",N
/MCL,10/23/23,11:15 AM,Reflection: I know price has a downward trend so I could have factored that into trading today and kept going short instead of going long,Y
